DATA;DIA DA SEMANA;CONSULTOR;ROTA;REGIONAL;CONSULTOR - ROTA;CLIENTE;FILIAL;CNPJ;CHECK IN ;CHECK OUT
03/04/2026;SEXTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - SALVADOR/BA;92660406003568;14:30;18:00
06/04/2026;SEGUNDA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FERREIRA COSTA;FERREIRA COSTA - SALVADOR/BA;10230480003156;09:00;11:30
06/04/2026;SEGUNDA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - SALVADOR/BA;08824171002603;13:00;18:00
07/04/2026;TERÇA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - FEIRA DE SANTANA/BA;92660406008012;09:00;12:00
07/04/2026;TERÇA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - SALVADOR/BA;92660406003568;14:30;18:00
08/04/2026;QUARTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FERREIRA COSTA;FERREIRA COSTA - VIANA SALVADOR/BA;10230480000300;09:00;11:30
08/04/2026;QUARTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;CLIMA RIO;CLIMA RIO - SALVADOR/BA;08824171002603;13:00;18:00
09/04/2026;QUINTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - LAURO DE FREITAS/BA;92660406007474;09:00;12:00
09/04/2026;QUINTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - SALVADOR/BA;92660406003568;13:30;18:00
10/04/2026;SEXTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FERREIRA COSTA;FERREIRA COSTA - SALVADOR/BA;10230480003156;09:00;11:30
10/04/2026;SEXTA-FEIRA;TATIANE SOUZA DOS SANTOS;NE_1;NE;CONSULTOR - NE;FRIGELAR;FRIGELAR - SALVADOR/BA;92660406003568;13:00;18:00
